Model,Creator,License,"Context
Window","Index
Normalized avg",Chatbot Arena,MMLU,MT Bench,HumanEval,"Blended
USD/1M Tokens","Input Price
USD/1M Tokens","Output Price
USD/1M Tokens","Median
Tokens/s","P5
Tokens/s","P25
Tokens/s","P75
Tokens/s","P95
Tokens/s","Median
First Chunk (s)","P5
First Chunk (s)","P25
First Chunk (s)","P75
First Chunk (s)","P95
First Chunk (s)","Further
Analysis"
GPT-4o,,Proprietary,128k,100,1287,0.887,,90.2,$7.50,$5.00,$15.00,97.2,57,76.1,116.8,136.8,0.53,0.33,0.4,0.69,0.84,ModelProviders
GPT-4o (Aug 6),,Proprietary,128k,100,,0.887,,,$4.38,$2.50,$10.00,105.6,91.7,98.5,111.9,128,0.38,0.34,0.36,0.43,0.91,ModelProviders
GPT-4 Turbo,,Proprietary,128k,94,1256,0.864,9.32,85.4,$15.00,$10.00,$30.00,31.1,17.7,25.1,41.2,54,0.6,0.52,0.56,0.71,1.09,ModelProviders
GPT-4o mini,,Proprietary,128k,88,,0.82,,87.2,$0.26,$0.15,$0.60,99.3,53.4,77.8,131.5,158.3,0.56,0.34,0.44,0.69,0.89,ModelProviders
GPT-4,,Proprietary,8k,84,1186,0.864,,88.4,$37.50,$30.00,$60.00,26.7,16.6,20.8,33.1,47.1,0.6,0.48,0.53,0.81,1.2,ModelProviders
GPT-3.5 Turbo Instruct,,Proprietary,4k,60,,,,,$1.63,$1.50,$2.00,113,75.9,94.1,141.7,159.5,0.53,0.33,0.44,0.62,0.77,ModelProviders
GPT-3.5 Turbo,,Proprietary,16k,59,1107,0.7,8.39,73.2,$0.75,$0.50,$1.50,88.4,62,74.4,105.7,126,0.38,0.27,0.33,0.48,0.74,ModelProviders
Gemini 1.5 Pro,,Proprietary,2m,95,1265,0.859,,84.1,$5.25,$3.50,$10.50,64.2,55.7,61.2,66.4,70.5,1.09,0.81,0.95,1.34,1.75,ModelProviders
Gemini 1.5 Flash,,Proprietary,1m,84,1231,0.789,,74.3,$0.53,$0.35,$1.05,170.2,123.8,155.9,184.2,227.6,1.03,0.75,0.88,1.34,1.68,ModelProviders
Gemma 2 27B,,Open,8k,78,1212,0.752,,51.8,$0.80,$0.80,$0.80,76,42.2,70,78.9,81.4,0.43,0.34,0.38,0.61,2.43,ModelProviders
Gemma 2 9B,,Open,8k,71,1185,0.713,,40.2,$0.20,$0.20,$0.20,122.9,33.5,85,147.7,592.2,0.34,0.19,0.26,0.4,0.68,ModelProviders
Gemini 1.0 Pro,,Proprietary,33k,62,1111,0.718,,67.7,$0.75,$0.50,$1.50,87.8,81.5,84.5,89.8,93.7,2.18,1.8,1.98,2.36,2.87,ModelProviders
Gemma 7B,,Open,8k,45,1037,0.643,,,$0.17,$0.17,$0.17,155.4,117.6,140.6,"1,037.10","1,095.30",0.73,0.21,0.27,0.82,0.94,ModelProviders
Llama 3.1 405B,,Open,128k,100,,0.886,,89,$4.50,$3.00,$5.00,28.5,15.7,25.4,33.4,68,0.61,0.31,0.45,0.96,5.49,ModelProviders
Llama 3.1 70B,,Open,128k,95,,0.86,,80.5,$0.89,$0.89,$0.89,59.4,25.1,40.5,85.6,249.5,0.45,0.23,0.31,0.73,2.06,ModelProviders
Llama 3 70B,,Open,8k,83,1207,0.82,,81.7,$0.90,$0.90,$0.90,61.8,13.5,23.6,102.2,306.8,0.42,0.22,0.29,0.81,3.74,ModelProviders
Llama 3.1 8B,,Open,128k,66,,0.694,,,$0.19,$0.19,$0.19,163.3,86,112.7,266.3,742.6,0.32,0.13,0.22,0.44,0.75,ModelProviders
Llama 3 8B,,Open,8k,64,1153,0.684,,62.2,$0.17,$0.17,$0.20,142,64.5,78.5,197.6,"1,203.20",0.33,0.16,0.23,0.68,1.28,ModelProviders
Llama 2 Chat 70B,,Open,4k,57,1093,0.689,6.86,,$1.00,$0.95,$1.00,36.9,17.8,28.3,48.8,191.3,0.77,0.19,0.26,3.05,5.39,ModelProviders
Mistral Large 2,,Open,128k,91,,0.84,,,$4.50,$3.00,$9.00,30.6,12.5,18.1,38.5,43,0.53,0.37,0.44,0.68,1.01,ModelProviders
Llama 2 Chat 13B,,Open,4k,39,1063,0.536,6.65,,$0.25,$0.25,$0.28,65,42.2,45.8,89.3,196.1,0.46,0.18,0.26,1.57,5.54,ModelProviders
Llama 2 Chat 7B,,Open,4k,29,1037,0.458,6.27,,$0.20,$0.20,$0.20,90.2,71.2,75.6,122.7,129.3,0.68,0.21,0.33,1.07,5.4,ModelProviders
Codestral,,Open,33k,,,,,,$1.50,$1.00,$3.00,52.8,44.5,50,53.9,55.6,0.39,0.26,0.32,0.46,0.72,ModelProviders
Codestral-Mamba,,Open,256k,,,,,,$0.25,$0.25,$0.25,95.7,90.4,93.2,97.3,99.4,0.47,0.38,0.41,0.6,0.84,ModelProviders
Mistral Large,,Proprietary,33k,76,1156,0.812,,,$6.00,$4.00,$12.00,29.6,14.5,24.3,35.4,42,0.59,0.34,0.43,2.5,3.62,ModelProviders
Mixtral 8x22B,,Open,65k,71,1146,0.77752,,,$1.20,$1.20,$1.20,66.9,37.2,54,78.9,96.6,0.33,0.21,0.28,0.46,0.87,ModelProviders
